2015-04-15 11:16:51		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:16:51		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:16:52		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:16:52		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:16:52		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:16:52		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:17:11		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:17:12		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:32:31		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:32:32		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:32:32		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:32:33		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:32:33		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
